sentiment,message
4,"Can someone tell me how I go about placing an order?

Cheers,
Julia"
1,"Hello,

I have been waiting on hold now for 2 weeks. Do you even answer your phones? You should really improve your contact center service, it blows! I just want someone to help me purchase a book, that's all."
5,"Hey,

Thank you for all your help so far, your staff have been a delight!

Thanks,
Dave"
3,"Hey,

What's your return policy? I just bought Danielle Steel's Wanderlust for my nephew and he absolutely HATES it. Wondering if I can exchange it for A Tale of Two Cities by Dickins.

Thanks"
0,"Hi,

I have been waiting on hold now for 30 mintues. Do you even answer your phones? You should really improve your contact center service, it blows! How do I go about buy an item?"
2,"Hello,

For some reason I can't seem to log into your payments system. I've been searching the store for Danielle Steel's Wanderlust but can't find it. It's a bestseller so I assume it has to be in stock right? How do I go about teach myself to cook?

"
5,"What's your return policy? I just bought David Allen's Getting Things Done for my nephew and he absolutely HATES it. Wondering if I can exchange it for The Belgariad.

Thanks,
Dave"
1,"Hello,

Please close my account, I have no further need of this service. I'm having a problem with your website. When I log in it gives me a dirty, great big error message! This happens most days..

Sincerely,
Margaret Jefferson"
2,"Why does your contact center have to be so damn complicated? All I want to do is browse, is that really so hard? Give me what I want, or else! You guys are a pack of wankers.You better start talking sense you wankers otherwise I'm taking my business elsewhere!"
3,"My order for Danielle Steel's Wanderlust still hasn't arrived. Can you please give me an update on the status of it?

Sincerely,
Amber"
4,"Hello,

Thank you for all your help so far, your staff have been a delight!

I've been searching the store for David Allen's Getting Things Done but can't find it. It's a bestseller so I assume it has to be in stock right? I just want someone to help me read a book, that's all.

That aside, Thank you for all your help so far, your staff have been a delight!

"
5,"Hi,

Can you please close my account? I am moving to Mali and won't have need of your service there.

Thanks,
Jim"
2,"Could somebody please help me, I'm completely lost and don't know what to do next. I'm having a problem with your delivery system. I've been searching the store for Lord of the Rings but can't find it. It's a bestseller so I assume it has to be in stock right?.

Douglas Johnson"
4,"Good afternoon,

Thank you for all your help so far, your staff have been a delight!

Thanks,
Jane"
4,"Good morning,

I just want someone to help me teach myself to cook, that's all. I'm having a problem with your online store. Even though I've cancelled my order through website you guys still charged my credit card..

You guys are the best, I tell all my friends about how much I love your site. Thanks so much.

Cheers,
Jane"
3,"My order for Humble Pie by Gordon Ramsey still hasn't arrived. Can you please give me an update on the status of it?

Pratap Chintoju"
0,"To Whom It May Concern:

Why does your website have to be so damn complicated? All I want to do is wash the dog, is that really so hard? Give me what I want, or else! You guys are a pack of morons.You better start talking sense you idiots otherwise I'm taking my business elsewhere!

Kel Varnsen"
0,What is wrong with your payments system?! Even though I've cancelled my order through delivery system you guys still charged my credit card. I know a lot of people and I plan on telling them all about this little incident.
3,"Hello,

When I log in it gives me a dirty, great big error message! This happens most days. Please close my account, I have no further need of this service.

Thank you for all your help so far, your staff have been a delight!

Sincerely,
Amber"
0,"I have been waiting on hold now for almost a year. Do you even answer your phones? You should really improve your contact center service, it blows! I just want someone to help me read a book, that's all.

Thanks"
3,"My order for Humble Pie by Gordon Ramsey still hasn't arrived. Can you please give me an update on the status of it?

Dave"
2,"To Whom It May Concern:

What is wrong with your shopping cart?! I've been searching the store for Gullivers Travels but can't find it. It's a bestseller so I assume it has to be in stock right? Give me what I want, or else! You guys are a pack of idiots.You better start talking sense you monumental fuckups otherwise I'm taking my business elsewhere!

H.E. Pennypacker"
3,"I am unhappy with your delivery system. When I log in it gives me a dirty, great big error message! This happens every week.

Thanks,
Jane"
2,"To Whom It May Concern:

Your website is terrible. I've been searching the store for Danielle Steel's Wanderlust but can't find it. It's a bestseller so I assume it has to be in stock right? Give me what I want, or else! You guys are a pack of idiots.You better start talking sense you wankers otherwise I'm taking my business elsewhere!

Remi Francis"
0,"Hello,

What is wrong with your website?! Even though I've cancelled my order through online store you guys still charged my credit card. I've had it up to here with you monumental fuckups. One more problem and I'm outa here!"
3,"Hello,

How do I go about read a book? I'm having a problem with your website. I've been searching the store for A Tale of Two Cities by Dickins but can't find it. It's a bestseller so I assume it has to be in stock right?.

Thank you for all your help so far, your staff have been a delight!

Thanks,
Jim"
5,"Good morning,

Thank you for all your help so far, your staff have been a delight!

Cheers,
Dave"
0,"What is wrong with your online store?! I've been searching the store for Danielle Steel's Wanderlust but can't find it. It's a bestseller so I assume it has to be in stock right? Give me what I want, or else! You guys are a pack of monumental fuckups.You better start talking sense you galahs otherwise I'm taking my business elsewhere!

Mary"
2,"I have been waiting on hold now for almost a year. Do you even answer your phones? You should really improve your contact center service, it blows! I just want someone to help me purchase a book, that's all.

Marcus"
5,"Good morning,

You guys are the best, I tell all my friends about how much I love your site. Thanks so much.

Regards,
Walter Cronkite"
5,"Hello,

Congratulations on providing such a wonderful and convenient service. It is truly an Internet treasure.

Regards,
Walter Cronkite"
5,How much does shipping on David Allen's Getting Things Done and The Belgariad cost? Are you able to bundle them together?
1,"Hello,

What is wrong with your contact center?! When I log in it gives me a dirty, great big error message! This happens every week. If you don't fix this immediately I won't hesitate to report you to the relevant authority.

Sincerely,
A very angry customer"
0,"Hello,

Why does your online store have to be so damn complicated? All I want to do is learn how to run a marathon, is that really so hard? This time you've gone to far! You'll be hearing from the relevant authority, you can count on it.

Regards,
Kel Varnsen"
5,"Hi there,

Can someone tell me how I go about placing an order?

Cheers,
Dave"
0,"I have been waiting on hold now for 2 weeks. Do you even answer your phones? You should really improve your contact center service, it blows! Can you please refund me the correct amount?

Jim"
0,"To Whom It May Concern:

What is wrong with your delivery system?! When I log in it gives me a dirty, great big error message! This happens every day. If you don't fix this immediately I won't hesitate to report you to my mother-in-law.

Regards,
A very angry customer"
5,"Can someone tell me how I go about placing an order?

Cheers,
A satisfied customer"
0,"Your shopping cart is terrible. When I log in it gives me a dirty, great big error message! This happens only rarely. If you don't fix this immediately I won't hesitate to report you to the relevant authority.

Sincerely,
Pratap Chintoju"
3,"Can someone tell me how I go about placing an order?

Julia"
2,"My order for Lord of the Rings still hasn't arrived. Can you please give me an update on the status of it?

Kel Varnsen"
1,"To Whom It May Concern:

How do I go about buy an item? I'm having a problem with your contact center. Even though I've cancelled my order through payments system you guys still charged my credit card..

Regards,
A very angry customer"
1,"To Whom It May Concern:

What is wrong with your payments system?! I've been searching the store for The Belgariad but can't find it. It's a bestseller so I assume it has to be in stock right? This time you've gone to far! You'll be hearing from the relevant authority, you can count on it.

Art Vandelay"
5,"Hey,

You guys are the best, I tell all my friends about how much I love your site. Thanks so much.

Jim"
2,"What is wrong with your online store?! When I log in it gives me a dirty, great big error message! This happens every week. Fix it before I call the ombudsman.

"
3,"

I am unhappy with your shopping cart. When I log in it gives me a dirty, great big error message! This happens at least once a week.

Thanks,
Jane"
2,"Please close my account, I have no further need of this service. I'm having a problem with your online store. When I log in it gives me a dirty, great big error message! This happens only rarely..

Thanks"
2,"Hi,

Thank you for all your help so far, your staff have been a delight!

I have been waiting on hold now for 2 weeks. Do you even answer your phones? You should really improve your contact center service, it blows! Could somebody please help me, I'm completely lost and don't know what to do next.

That aside, You guys are the best, I tell all my friends about how much I love your site. Thanks so much.

"
1,"

I just want someone to help me learn how to run a marathon, that's all. I'm having a problem with your website. Even though I've cancelled my order through website you guys still charged my credit card.."
5,"Hello,

Thank you for all your help so far, your staff have been a delight!

Margaret Jefferson"
1,"

What is wrong with your contact center?! When I log in it gives me a dirty, great big error message! This happens at least once a week. This time you've gone to far! You'll be hearing from the ombudsman, you can count on it.

Thanks"
3,"To Whom It May Concern:

You guys are the best, I tell all my friends about how much I love your site. Thanks so much.

For some reason I can't seem to log into your shopping cart. Even though I've cancelled my order through website you guys still charged my credit card. Please close my account, I have no further need of this service.

That aside, You guys are the best, I tell all my friends about how much I love your site. Thanks so much.

Sincerely,
Pratap Chintoju"
3,"To Whom It May Concern:

My order for A Tale of Two Cities by Dickins still hasn't arrived. Can you please give me an update on the status of it?

Sincerely,
Art Vandelay"
2,"

My order for David Allen's Getting Things Done still hasn't arrived. Can you please give me an update on the status of it?"
0,"I have been waiting on hold now for a whole month. Do you even answer your phones? You should really improve your contact center service, it blows! Can you please refund me the correct amount?"
3,"Hello,

How much does shipping on The Belgariad and A Tale of Two Cities by Dickins cost? Are you able to bundle them together?

Remi Francis"
1,"

Why does your online store have to be so damn complicated? All I want to do is buy an item, is that really so hard? Give me what I want, or else! You guys are a pack of galahs.You better start talking sense you dickheads otherwise I'm taking my business elsewhere!

"
4,"Hey,

Congratulations on providing such a wonderful and convenient service. It is truly an Internet treasure.

"
3,"Hello,

Thank you for all your help so far, your staff have been a delight!

For some reason I can't seem to log into your delivery system. When I log in it gives me a dirty, great big error message! This happens every week. I just want someone to help me read a book, that's all.

That aside, Thank you for all your help so far, your staff have been a delight!

Regards,
Margaret Jefferson"
0,"Hello,

What is wrong with your contact center?! When I log in it gives me a dirty, great big error message! This happens every day. Fix it before I call the company directors.

"
4,"Good morning,

Thank you for all your help so far, your staff have been a delight!

I've been searching the store for A Tale of Two Cities by Dickins but can't find it. It's a bestseller so I assume it has to be in stock right? Can you please refund me the correct amount?

That aside, Congratulations on providing such a wonderful and convenient service. It is truly an Internet treasure.

Thanks"
0,"To Whom It May Concern:

What is wrong with your delivery system?! When I log in it gives me a dirty, great big error message! This happens at least once a week. This time you've gone to far! You'll be hearing from the ombudsman, you can count on it.

Sincerely,
Pratap Chintoju"
1,"Your shopping cart is terrible. When I log in it gives me a dirty, great big error message! This happens at least once a week. Fix it before I call my mother-in-law."
2,"

You guys are the best, I tell all my friends about how much I love your site. Thanks so much.

I am unhappy with your online store. I've been searching the store for Humble Pie by Gordon Ramsey but can't find it. It's a bestseller so I assume it has to be in stock right?

That aside, Thank you for all your help so far, your staff have been a delight!

Dave"
1,"Hello,

What is wrong with your shopping cart?! When I log in it gives me a dirty, great big error message! This happens every week. If you don't fix this immediately I won't hesitate to report you to my lawyer.

Sincerely,
Art Vandelay"
3,"Hi,

When I log in it gives me a dirty, great big error message! This happens only sometimes. I just want someone to help me browse, that's all."
3,"

My order for The Belgariad still hasn't arrived. Can you please give me an update on the status of it?"
5,"Hello,

You guys are the best, I tell all my friends about how much I love your site. Thanks so much.

Walter Cronkite"
2,"

My order for Gullivers Travels still hasn't arrived. Can you please give me an update on the status of it?

Thanks"
5,"Can you please close my account? I am moving to Equatorial Guinea and won't have need of your service there.

Cheers,
Jim"
4,"Good afternoon,

Thank you for all your help so far, your staff have been a delight!

Regards,
Walter Cronkite"
4,"Good afternoon,

How much does shipping on The Belgariad and How to Win Friend and Influence People cost? Are you able to bundle them together?

"
2,"To Whom It May Concern:

My order for Gullivers Travels still hasn't arrived. Can you please give me an update on the status of it?

Thank you for all your help so far, your staff have been a delight!

Margaret Jefferson"
0,Your delivery system is terrible. Even though I've cancelled my order through contact center you guys still charged my credit card. If you don't fix this immediately I won't hesitate to report you to my mother-in-law.
4,"Hello,

Congratulations on providing such a wonderful and convenient service. It is truly an Internet treasure.

When I log in it gives me a dirty, great big error message! This happens every day. Please close my account, I have no further need of this service.

That aside, You guys are the best, I tell all my friends about how much I love your site. Thanks so much.

Cheers,
Julia"
1,"Why does your website have to be so damn complicated? All I want to do is read a book, is that really so hard? Give me what I want, or else! You guys are a pack of wankers.You better start talking sense you wankers otherwise I'm taking my business elsewhere!

Thanks"
4,"Can someone tell me how I go about placing an order?

Marcus"
0,"Why does your payments system have to be so damn complicated? All I want to do is purchase a book, is that really so hard? I've had it up to here with you idiots. One more problem and I'm outa here!"
1,"

Please close my account, I have no further need of this service. I'm having a problem with your payments system. Even though I've cancelled my order through contact center you guys still charged my credit card.."
2,"Hello,

Even though I've cancelled my order through website you guys still charged my credit card. Can you please refund me the correct amount?

"
1,Your online store is terrible. I've been searching the store for David Allen's Getting Things Done but can't find it. It's a bestseller so I assume it has to be in stock right? If you don't fix this immediately I won't hesitate to report you to the ombudsman.
2,"

Could somebody please help me, I'm completely lost and don't know what to do next. I'm having a problem with your payments system. Even though I've cancelled my order through delivery system you guys still charged my credit card..

Thank you for all your help so far, your staff have been a delight!

Thanks"
4,Can you please close my account? I am moving to Burkina-Faso and won't have need of your service there.
4,"To Whom It May Concern:

For some reason I can't seem to log into your delivery system. When I log in it gives me a dirty, great big error message! This happens every day. How do I go about purchase a book?

Thank you for all your help so far, your staff have been a delight!

Douglas Johnson"
0,"Hello,

What is wrong with your contact center?! Even though I've cancelled my order through website you guys still charged my credit card. I know a lot of people and I plan on telling them all about this little incident.

Regards,
A very angry customer"
1,I am unhappy with your contact center. I've been searching the store for Lord of the Rings but can't find it. It's a bestseller so I assume it has to be in stock right?
4,"Good afternoon,

Congratulations on providing such a wonderful and convenient service. It is truly an Internet treasure.

Best regards,
H.E. Pennypacker"
2,"Hello,

What is wrong with your contact center?! Even though I've cancelled my order through payments system you guys still charged my credit card. If you don't fix this immediately I won't hesitate to report you to my mother-in-law.

"
1,"How do I go about wash the dog? I'm having a problem with your payments system. When I log in it gives me a dirty, great big error message! This happens every day.."
2,My order for Danielle Steel's Wanderlust still hasn't arrived. Can you please give me an update on the status of it?
2,"

Thank you for all your help so far, your staff have been a delight!

Why does your delivery system have to be so damn complicated? All I want to do is learn how to run a marathon, is that really so hard? If you don't fix this immediately I won't hesitate to report you to the relevant authority.

That aside, Congratulations on providing such a wonderful and convenient service. It is truly an Internet treasure.

Julia"
5,"Good afternoon,

Congratulations on providing such a wonderful and convenient service. It is truly an Internet treasure.

Best regards,
Pratap Chintoju"
3,"Hello,

I am unhappy with your delivery system. Even though I've cancelled my order through payments system you guys still charged my credit card."
3,"Hi,

For some reason I can't seem to log into your payments system. Even though I've cancelled my order through website you guys still charged my credit card. Please close my account, I have no further need of this service.

"
4,"Good afternoon,

Congratulations on providing such a wonderful and convenient service. It is truly an Internet treasure.

Dave"
1,"What is wrong with your website?! When I log in it gives me a dirty, great big error message! This happens most days. I know a lot of people and I plan on telling them all about this little incident.

"
2,"To Whom It May Concern:

Thank you for all your help so far, your staff have been a delight!

How do I go about read a book? I'm having a problem with your online store. I've been searching the store for The Belgariad but can't find it. It's a bestseller so I assume it has to be in stock right?.

That aside, Thank you for all your help so far, your staff have been a delight!

Remi Francis"
3,"For some reason I can't seem to log into your website. When I log in it gives me a dirty, great big error message! This happens every week. Could somebody please help me, I'm completely lost and don't know what to do next."
3,Even though I've cancelled my order through shopping cart you guys still charged my credit card. How do I go about learn how to run a marathon?
5,"Can someone tell me how I go about placing an order?

Dave"
4,What's your return policy? I just bought The Belgariad for my nephew and he absolutely HATES it. Wondering if I can exchange it for How to Win Friend and Influence People.
0,"What is wrong with your website?! Even though I've cancelled my order through shopping cart you guys still charged my credit card. Give me what I want, or else! You guys are a pack of lousy douchebags.You better start talking sense you morons otherwise I'm taking my business elsewhere!"
0,"I have been waiting on hold now for 45 minutes. Do you even answer your phones? You should really improve your contact center service, it blows! I just want someone to help me buy an item, that's all."
3,"Hello,

I've been searching the store for The Belgariad but can't find it. It's a bestseller so I assume it has to be in stock right? I just want someone to help me learn how to run a marathon, that's all.

Thank you for all your help so far, your staff have been a delight!

Sincerely,
Douglas Johnson"
0,"Why does your payments system have to be so damn complicated? All I want to do is make a payment, is that really so hard? I've had it up to here with you idiots. One more problem and I'm outa here!

Art Vandelay"
4,"Good afternoon,

Thank you for all your help so far, your staff have been a delight!

I've been searching the store for The Belgariad but can't find it. It's a bestseller so I assume it has to be in stock right? Could somebody please help me, I'm completely lost and don't know what to do next.

That aside, Thank you for all your help so far, your staff have been a delight!

Best regards,
Remi Francis"
3,"Hello,

My order for Gullivers Travels still hasn't arrived. Can you please give me an update on the status of it?"
3,"For some reason I can't seem to log into your shopping cart. I've been searching the store for Lord of the Rings but can't find it. It's a bestseller so I assume it has to be in stock right? Can you please refund me the correct amount?

H.E. Pennypacker"
1,"To Whom It May Concern:

How do I go about teach myself to cook? I'm having a problem with your delivery system. I've been searching the store for David Allen's Getting Things Done but can't find it. It's a bestseller so I assume it has to be in stock right?."
1,"

Could somebody please help me, I'm completely lost and don't know what to do next. I'm having a problem with your delivery system. Even though I've cancelled my order through website you guys still charged my credit card..

"
4,"Good afternoon,

Even though I've cancelled my order through payments system you guys still charged my credit card. Can you please refund me the correct amount?

Thank you for all your help so far, your staff have been a delight!

Sincerely,
Art Vandelay"
2,"Hello,

Why does your online store have to be so damn complicated? All I want to do is make a payment, is that really so hard? I know a lot of people and I plan on telling them all about this little incident.

Sincerely,
Remi Francis"
2,"To Whom It May Concern:

Why does your shopping cart have to be so damn complicated? All I want to do is read a book, is that really so hard? Give me what I want, or else! You guys are a pack of morons.You better start talking sense you wankers otherwise I'm taking my business elsewhere!

Regards,
Art Vandelay"
5,Do you deliver internationally? I live in Zimbabwe and would really like to order Humble Pie by Gordon Ramsey as I can't find it anywhere here.
3,"My order for The Belgariad still hasn't arrived. Can you please give me an update on the status of it?

Douglas Johnson"
3,"To Whom It May Concern:

For some reason I can't seem to log into your website. Even though I've cancelled my order through website you guys still charged my credit card. How do I go about learn how to run a marathon?

H.E. Pennypacker"
2,"Hello,

You guys are the best, I tell all my friends about how much I love your site. Thanks so much.

Can you please refund me the correct amount? I'm having a problem with your website. When I log in it gives me a dirty, great big error message! This happens most days..

That aside, Thank you for all your help so far, your staff have been a delight!

Regards,
Remi Francis"
0,"Hello,

I have been waiting on hold now for 10 minutes. Do you even answer your phones? You should really improve your contact center service, it blows! Could somebody please help me, I'm completely lost and don't know what to do next."
3,"

You guys are the best, I tell all my friends about how much I love your site. Thanks so much.

For some reason I can't seem to log into your delivery system. I've been searching the store for How to Win Friend and Influence People but can't find it. It's a bestseller so I assume it has to be in stock right? How do I go about make a payment?

That aside, Thank you for all your help so far, your staff have been a delight!

Thanks,
Martin"
5,"Good morning,

Congratulations on providing such a wonderful and convenient service. It is truly an Internet treasure.

Best regards,
Amber"
4,"Good afternoon,

You guys are the best, I tell all my friends about how much I love your site. Thanks so much.

For some reason I can't seem to log into your payments system. When I log in it gives me a dirty, great big error message! This happens most days. Could somebody please help me, I'm completely lost and don't know what to do next.

That aside, You guys are the best, I tell all my friends about how much I love your site. Thanks so much.

Martin"
0,"Your payments system is terrible. I've been searching the store for How to Win Friend and Influence People but can't find it. It's a bestseller so I assume it has to be in stock right? This time you've gone to far! You'll be hearing from my mother-in-law, you can count on it."
1,"To Whom It May Concern:

Why does your online store have to be so damn complicated? All I want to do is purchase a book, is that really so hard? This time you've gone to far! You'll be hearing from the ombudsman, you can count on it."
4,Can you please close my account? I am moving to Djibouti and won't have need of your service there.
4,"Hi,

Even though I've cancelled my order through online store you guys still charged my credit card. I just want someone to help me purchase a book, that's all.

Congratulations on providing such a wonderful and convenient service. It is truly an Internet treasure.

Thanks,
Mary"
4,"Hey,

You guys are the best, I tell all my friends about how much I love your site. Thanks so much.

For some reason I can't seem to log into your payments system. When I log in it gives me a dirty, great big error message! This happens every day. How do I go about wash the dog?

That aside, Congratulations on providing such a wonderful and convenient service. It is truly an Internet treasure.

Mary"
2,"What is wrong with your delivery system?! When I log in it gives me a dirty, great big error message! This happens at least once a week. I've had it up to here with you monumental fuckups. One more problem and I'm outa here!

"
0,"I have been waiting on hold now for 3 days. Do you even answer your phones? You should really improve your contact center service, it blows! I just want someone to help me purchase a book, that's all."
5,"Can you please close my account? I am moving to Haiti and won't have need of your service there.

Thanks"
5,"Hi,

You guys are the best, I tell all my friends about how much I love your site. Thanks so much.

Mary"
2,"Hello,

Your website is terrible. Even though I've cancelled my order through contact center you guys still charged my credit card. This time you've gone to far! You'll be hearing from the ombudsman, you can count on it.

Thank you for all your help so far, your staff have been a delight!

Sincerely,
Amber"
4,"Good afternoon,

How much does shipping on David Allen's Getting Things Done and Lord of the Rings cost? Are you able to bundle them together?

Cheers,
Martin"
0,"To Whom It May Concern:

Why does your contact center have to be so damn complicated? All I want to do is make a payment, is that really so hard? This time you've gone to far! You'll be hearing from the ombudsman, you can count on it.

Sincerely,
Amber"
2,"Hello,

What is wrong with your payments system?! I've been searching the store for The Belgariad but can't find it. It's a bestseller so I assume it has to be in stock right? This time you've gone to far! You'll be hearing from the ombudsman, you can count on it."
1,"To Whom It May Concern:

What is wrong with your website?! I've been searching the store for Humble Pie by Gordon Ramsey but can't find it. It's a bestseller so I assume it has to be in stock right? Give me what I want, or else! You guys are a pack of idiots.You better start talking sense you monumental fuckups otherwise I'm taking my business elsewhere!

Sincerely,
Douglas Johnson"
5,"Good morning,

You guys are the best, I tell all my friends about how much I love your site. Thanks so much.

Best regards,
H.E. Pennypacker"
5,"What's your return policy? I just bought Humble Pie by Gordon Ramsey for my nephew and he absolutely HATES it. Wondering if I can exchange it for Gullivers Travels.

Thanks"
5,"Good morning,

What's your return policy? I just bought Humble Pie by Gordon Ramsey for my nephew and he absolutely HATES it. Wondering if I can exchange it for The Belgariad.

Thanks,
Jim"
3,"Hello,

For some reason I can't seem to log into your shopping cart. Even though I've cancelled my order through contact center you guys still charged my credit card. Could somebody please help me, I'm completely lost and don't know what to do next.

Kel Varnsen"
5,"Good morning,

Can you please close my account? I am moving to Zimbabwe and won't have need of your service there.

Regards,
Pratap Chintoju"
0,"Hello,

What is wrong with your website?! When I log in it gives me a dirty, great big error message! This happens every day. Give me what I want, or else! You guys are a pack of morons.You better start talking sense you wankers otherwise I'm taking my business elsewhere!

Sincerely,
Kel Varnsen"
4,"Hi,

You guys are the best, I tell all my friends about how much I love your site. Thanks so much.

Cheers,
Jim"
5,"Good afternoon,

How much does shipping on Lord of the Rings and Humble Pie by Gordon Ramsey cost? Are you able to bundle them together?

Art Vandelay"
2,"Hello,

Thank you for all your help so far, your staff have been a delight!

Why does your delivery system have to be so damn complicated? All I want to do is teach myself to cook, is that really so hard? I've had it up to here with you idiots. One more problem and I'm outa here!

That aside, Congratulations on providing such a wonderful and convenient service. It is truly an Internet treasure.

Sincerely,
Kel Varnsen"
4,Can you please close my account? I am moving to Cameroon and won't have need of your service there.
3,What's your return policy? I just bought How to Win Friend and Influence People for my nephew and he absolutely HATES it. Wondering if I can exchange it for Humble Pie by Gordon Ramsey.
5,What's your return policy? I just bought Lord of the Rings for my nephew and he absolutely HATES it. Wondering if I can exchange it for How to Win Friend and Influence People.
4,"Hi there,

For some reason I can't seem to log into your delivery system. When I log in it gives me a dirty, great big error message! This happens only rarely. How do I go about read a book?

Thank you for all your help so far, your staff have been a delight!

Cheers,
Martin"
4,"To Whom It May Concern:

My order for How to Win Friend and Influence People still hasn't arrived. Can you please give me an update on the status of it?

Congratulations on providing such a wonderful and convenient service. It is truly an Internet treasure.

Best regards,
Art Vandelay"
0,"To Whom It May Concern:

Your shopping cart is terrible. When I log in it gives me a dirty, great big error message! This happens every day. Give me what I want, or else! You guys are a pack of lousy douchebags.You better start talking sense you wankers otherwise I'm taking my business elsewhere!"
3,"Hi,

How much does shipping on David Allen's Getting Things Done and Danielle Steel's Wanderlust cost? Are you able to bundle them together?

Cheers,
Marcus"
3,"Hello,

Can someone tell me how I go about placing an order?

Pratap Chintoju"
4,"Good morning,

You guys are the best, I tell all my friends about how much I love your site. Thanks so much.

Walter Cronkite"
2,"Hello,

When I log in it gives me a dirty, great big error message! This happens every week. Can you please refund me the correct amount?

"
3,"Hello,

For some reason I can't seem to log into your online store. I've been searching the store for Humble Pie by Gordon Ramsey but can't find it. It's a bestseller so I assume it has to be in stock right? I just want someone to help me learn how to run a marathon, that's all.

You guys are the best, I tell all my friends about how much I love your site. Thanks so much.

Sincerely,
Art Vandelay"
2,"Even though I've cancelled my order through contact center you guys still charged my credit card. Please close my account, I have no further need of this service.

Regards,
Kel Varnsen"
1,"Your shopping cart is terrible. I've been searching the store for A Tale of Two Cities by Dickins but can't find it. It's a bestseller so I assume it has to be in stock right? I've had it up to here with you morons. One more problem and I'm outa here!

Sincerely,
Walter Cronkite"
5,"How much does shipping on A Tale of Two Cities by Dickins and Humble Pie by Gordon Ramsey cost? Are you able to bundle them together?

Thanks,
Martin"
3,"

You guys are the best, I tell all my friends about how much I love your site. Thanks so much.

My order for The Belgariad still hasn't arrived. Can you please give me an update on the status of it?

That aside, Thank you for all your help so far, your staff have been a delight!

Cheers,
Martin"
